dataset,split,nfr_threshold,bcwi_acc,soft_nfr_1d_acc,soft_nfr_kd_acc,winner
adult,0,0.0,0.8424543946932007,0.8424543946932007,0.8441127694859039,soft_nfr_kd
adult,0,0.005,0.8428229224249125,0.8428229224249125,0.8441127694859039,soft_nfr_kd
adult,0,0.01,0.8428229224249125,0.8428229224249125,0.8441127694859039,soft_nfr_kd
adult,0,0.02,0.8428229224249125,0.8428229224249125,0.8441127694859039,soft_nfr_kd
adult,0,0.03,0.8428229224249125,0.8428229224249125,0.8588538787543762,soft_nfr_kd
adult,1,0.0,0.8406117560346416,0.8406117560346416,0.855352865303114,soft_nfr_kd
adult,1,0.005,0.8414409434309932,0.8414409434309932,0.855352865303114,soft_nfr_kd
adult,1,0.01,0.8421779988944168,0.8421779988944168,0.855352865303114,soft_nfr_kd
adult,1,0.02,0.8421779988944168,0.8421779988944168,0.855352865303114,soft_nfr_kd
adult,1,0.03,0.8424543946932007,0.8424543946932007,0.8560899207665377,soft_nfr_kd
adult,2,0.0,0.8423622627602727,0.8423622627602727,0.8532338308457711,soft_nfr_kd
adult,2,0.005,0.8430993182236963,0.8430993182236963,0.8532338308457711,soft_nfr_kd
adult,2,0.01,0.8442970333517598,0.8442970333517598,0.8532338308457711,soft_nfr_kd
adult,2,0.02,0.8442970333517598,0.8442970333517598,0.8532338308457711,soft_nfr_kd
adult,2,0.03,0.8442970333517598,0.8442970333517598,0.8532338308457711,soft_nfr_kd
diabetes,0,0.0,0.7662337662337663,0.7662337662337663,0.7532467532467533,tie
diabetes,0,0.005,0.7662337662337663,0.7662337662337663,0.7532467532467533,tie
diabetes,0,0.01,0.7662337662337663,0.7662337662337663,0.7532467532467533,tie
diabetes,0,0.02,0.7662337662337663,0.7662337662337663,0.7532467532467533,tie
diabetes,0,0.03,0.7662337662337663,0.7662337662337663,0.7532467532467533,tie
diabetes,1,0.0,0.7532467532467533,0.7532467532467533,0.7272727272727273,tie
diabetes,1,0.005,0.7532467532467533,0.7532467532467533,0.7272727272727273,tie
diabetes,1,0.01,0.7532467532467533,0.7532467532467533,0.7272727272727273,tie
diabetes,1,0.02,0.7532467532467533,0.7532467532467533,0.7272727272727273,tie
diabetes,1,0.03,0.7532467532467533,0.7532467532467533,0.7272727272727273,tie
diabetes,2,0.0,0.7597402597402597,0.7597402597402597,0.7662337662337663,soft_nfr_kd
diabetes,2,0.005,0.7597402597402597,0.7597402597402597,0.7662337662337663,soft_nfr_kd
diabetes,2,0.01,0.7727272727272727,0.7727272727272727,0.7662337662337663,tie
diabetes,2,0.02,0.7727272727272727,0.7727272727272727,0.7727272727272727,tie
diabetes,2,0.03,0.7727272727272727,0.7727272727272727,0.7727272727272727,tie
