dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,1,bcwi,logreg,,0.005,0.0033779708046809023,0.8509571092230526,0.03513513513513514
adult,1,projected_gd,logreg,,0.01,0.006394016166003136,0.8523902139420616,0.06148648648648649
adult,1,bcwi,logreg,,0.01,0.0054288816503800215,0.8531067663015662,0.060810810810810814
adult,1,projected_gd,logreg,,0.015,0.012184823259741826,0.8512642030914116,0.08648648648648649
adult,1,bcwi,logreg,,0.015,0.0054288816503800215,0.8531067663015662,0.060810810810810814
adult,1,projected_gd,logreg,,0.02,0.014477017734346724,0.8503429214863343,0.09324324324324325
adult,1,bcwi,logreg,,0.02,0.0054288816503800215,0.8531067663015662,0.060810810810810814
adult,1,projected_gd,logreg,,0.025,0.014477017734346724,0.8503429214863343,0.09324324324324325
adult,1,bcwi,logreg,,0.025,0.0054288816503800215,0.8531067663015662,0.060810810810810814
adult,1,projected_gd,logreg,,0.03,0.014477017734346724,0.8503429214863343,0.09324324324324325
adult,1,bcwi,logreg,,0.03,0.0054288816503800215,0.8531067663015662,0.060810810810810814
adult,2,baseline,logreg,,,0.01133076181292189,0.8519807554509161,0.08214528173794976
adult,2,confidence_drop,logreg,0.0,,0.011812921890067503,0.8516736615825571,0.08282416836388323
adult,2,fixed_anchor,logreg,0.0,,0.011571841851494697,0.8521854846964889,0.08486082824168364
adult,2,selective_distill,logreg,0.0,,0.01253616200578592,0.8516736615825571,0.08689748811948404
adult,2,confidence_drop,logreg,0.5,,0.008678881388621022,0.8502405568635479,0.055668703326544465
adult,2,fixed_anchor,logreg,0.5,,0.005544840887174542,0.8514689323369843,0.0461642905634759
adult,2,selective_distill,logreg,0.5,,0.01133076181292189,0.8517760262053434,0.08078750848608282
adult,2,confidence_drop,logreg,1.0,,0.010607521697203472,0.8492169106356843,0.05974202308214528
adult,2,fixed_anchor,logreg,1.0,,0.0047010607521697206,0.8512642030914116,0.04005431093007468
adult,2,selective_distill,logreg,1.0,,0.010125361620057859,0.8519807554509161,0.07535641547861507
adult,2,confidence_drop,logreg,2.0,,0.009643201542912247,0.8478861705394616,0.04548540393754243
adult,2,fixed_anchor,logreg,2.0,,0.0037367405978784955,0.8507523799774798,0.031228784792939578
